question,option1,option2,option3,option4,correct_index
"Which country has the longest coastline in the world?","Canada","Australia","Russia","USA",0
"What is the smallest country by land area?","Monaco","Vatican City","San Marino","Liechtenstein",1
"Which country is known as the Land of the Rising Sun?","China","Japan","South Korea","Thailand",1
"Which country has the most natural lakes?","USA","Russia","Finland","Canada",3
"What is the official language of Brazil?","Spanish","Portuguese","French","English",1
"Which country is the largest producer of coffee?","Vietnam","Colombia","Brazil","Indonesia",2
"Which country has the highest number of islands?","Norway","Sweden","Canada","Indonesia",1
"Which country is home to the ancient city of Petra?","Egypt","Jordan","Saudi Arabia","Israel",1
"What is the capital city of Australia?","Sydney","Melbourne","Brisbane","Canberra",3
"Which country is known for the origin of the tango dance?","Brazil","Mexico","Cuba","Argentina",3
"What is the most spoken language in the world?","English","Spanish","Mandarin","Hindi",2
"Which country is the largest by population in Africa?","Nigeria","Ethiopia","Egypt","South Africa",0
"In which country can you visit the historic city of Machu Picchu?","Peru","Chile","Brazil","Colombia",0
"What is the official currency of Japan?","Yen","Won","Yuan","Rupee",0
"Which country is known for having the first underground railway system?","France","Germany","UK","USA",2
"Which European country shares borders with the most countries?","Germany","France","Russia","Switzerland",0
"Which country is home to the world's tallest building, the Burj Khalifa?","Qatar","Kuwait","Saudi Arabia","UAE",3
"What is the capital city of Canada?","Toronto","Vancouver","Montreal","Ottawa",3
"Which country is famous for the Great Barrier Reef?","New Zealand","Fiji","Australia","Indonesia",2
"Which country hosted the first modern Olympic Games?","Italy","France","Greece","UK",2
"Which country is known for its maple syrup production?","USA","Canada","Norway","Sweden",1
"What is the capital of Kenya?","Nairobi","Lagos","Accra","Addis Ababa",0
"Which Asian country is an archipelago made up of about 7,641 islands?","Philippines","Japan","Indonesia","Malaysia",0
"Which country is home to the famous Eiffel Tower?","Spain","Germany","France","Italy",2
"In which country would you find the ancient ruins of Angkor Wat?","Thailand","Vietnam","Cambodia","Laos",2
"Which country has the largest desert in the world?","Saudi Arabia","Australia","USA","Antarctica",3
